source_id,distance,wd_phot_bp_mean_mag,wd_e_bpmag,wd_phot_rp_mean_mag,wd_e_rpmag,CO_radius,CO_e_radius,CO_teff,CO_e_teff,CO_chi2,CO_roe,ONe_radius,ONe_e_radius,ONe_teff,ONe_e_teff,ONe_chi2,ONe_roe,CO_failed,ONe_failed
2228711207670801408,134.0207061767578,20.030492782592773,0.33404643864386496,19.269458770751953,0.1601559261427733,0.011110646171956168,1.0371713154975916e-05,6085.361914943736,1.2106172978532586,4.115328488407818e-16,1071.2450302027244,0.011073129433764551,1.5971750582537623e-07,6105.625711889107,0.015882866707430898,1.808557468444485e-17,69329.46627573263,False,False
2323176161485548928,526.831787109375,19.73807144165039,0.048545858438501316,20.09276580810547,0.10718820670609686,0.007864395575764255,1.3959763874188246e-08,29975.167888937107,0.1999811389757516,5.134062704806981e-16,563361.6475637964,0.00786327230399219,1.0672933389029116e-06,29994.194751434756,6.473331679779925,3.582110930709725e-14,7367.489346532395,False,False
2331846326067177600,421.80426025390625,17.733043670654297,0.4228148331633672,17.901527404785156,0.38808075966362016,0.026688352562935516,2.243111668133408e-08,15168.553722076684,0.009586435143245049,1.1287049261131627e-20,1189791.5267474877,0.026674378517163817,1.3240154214051515e-07,15166.21737548338,0.0746357890544771,6.718934036973236e-19,201465.76909848093,False,False
2372659682293734528,383.4114074707031,18.68653678894043,0.3208203338896962,19.27577781677246,0.4129583537742667,0.004418055795353825,0.000205360649575371,78999.89623301332,9474.23295318542,4.645562056803841e-07,21.513643458418844,0.004422350559214387,0.0002069899039873151,78799.99328700356,9368.713866989354,4.792656541192626e-07,21.365054401326745,False,False
2452134891010787200,228.14198303222656,20.487022399902344,0.08690220155025323,20.04522705078125,0.1479649407927465,0.00978394890955555,1.7890630521218583e-07,7723.546558308393,0.12547642450921973,1.8387227416372412e-14,54687.55781386031,0.009749989167969682,2.0221092008050675e-06,7747.249824945985,0.16411833702529188,1.2585683968269041e-14,4821.692697945242,False,False
2512689424463488256,222.92874145507812,20.417707443237305,0.11881064101398489,20.439603805541992,0.16667874078473796,0.005289193574687008,2.555088568762991e-06,12011.387068318216,6.172153437900488,1.8107849270837925e-12,2070.062713030607,0.005287341003286937,2.7533348951172122e-08,12019.695482964893,0.1571431898959602,2.5960354661425265e-15,192034.0679466037,False,False
2588314594431036416,202.9348602294922,17.02680015563965,0.2509482839199404,17.39264488220215,1.0471665957668161,0.010322879798137827,2.5917316677419355e-06,31101.053851081047,16.245797116456064,9.560006726939856e-18,3983.00484831121,0.010322924964220007,1.1716546482116118e-07,31113.97229975954,0.4765767282625285,1.9435656558658525e-18,88105.52648749096,False,False
2636572567797054976,202.97096252441406,19.740262985229492,0.2981476063869633,19.719852447509766,0.0788224550836986,0.007067270413911785,9.732898630540725e-10,11300.914698953202,0.0043644134312882926,1.0555111164679759e-19,7261218.555935122,0.007054872208607389,6.969634328071816e-10,11325.771778847824,0.0031279270286964506,6.433005198777577e-20,10122298.92778199,False,False
2729616235330388352,147.00531005859375,18.12672233581543,0.6148039010633315,17.86984634399414,0.03726541616431538,0.01521004993102725,2.4557102199994205e-06,8764.847901573841,4.001489137652393,2.0781765039073894e-10,6193.747864530546,0.01518121070132755,3.954027512272879e-07,8791.37717026261,0.2067127867825554,5.3386195324794246e-15,38394.29709127388,False,False
2809172631816775168,136.84588623046875,20.197551727294922,0.08273131987170582,19.853235244750977,0.13549227472461664,0.006024701889958754,4.748965614816842e-09,8235.3173257362,0.005814547076460457,3.268194120415681e-17,1268634.5572100156,0.006005647696918401,8.758196785154367e-08,8264.809306121339,0.12474732289703436,6.392320565932453e-15,68571.73735920514,False,False
