teff,logg,logL,age,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,mass,radius,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
12952.0,7.4842,-2.05701,0.202707878,11.102,10.708,10.938,11.17,11.464,0.38444,0.01859247727454364,6031716.924001687,12818967.118530868,4781728.891392019,2156879.7867561993,993177.9005170525
12811.0,7.48595,-2.077774,0.209636519,11.136,10.737,10.961,11.19,11.483,0.38444,0.018555055569229057,5869362.748460924,12531499.281580565,4700401.426325745,2126062.074617562,979889.3722213235
12627.0,7.48825,-2.105199,0.219133092,11.181,10.774,10.99,11.215,11.506,0.38444,0.01850598728014274,5660971.277252206,12175954.97715212,4600816.894826924,2088699.3926957166,964444.0705721257
12425.0,7.49076,-2.135727,0.230162454,11.228,10.815,11.022,11.242,11.531,0.38444,0.018452586902915694,5452566.253670791,11792694.109957164,4493088.25626178,2049207.5177461978,947953.5283408314
12228.0,7.49322,-2.165955,0.241700885,11.27,10.852,11.051,11.266,11.554,0.38444,0.018400399798046353,5275467.493784034,11462333.323500061,4399516.485397953,2015793.0358231405,933355.4062687198
12094.0,7.49486,-2.186737,0.249640002,11.298,10.876,11.07,11.282,11.569,0.38444,0.01836569041734229,5160608.951361965,11254158.661141071,4339552.525396805,1993819.964992356,924032.0764239839
11901.0,7.49724,-2.217065,0.261926989,11.337,10.912,11.097,11.305,11.591,0.38444,0.01831543590705701,5005885.95671587,10946947.456401812,4256228.636448066,1962754.3134698225,910472.9497373023
11771.0,7.49882,-2.237725,0.270376699,11.364,10.937,11.117,11.321,11.606,0.38444,0.018282149639542375,4900731.9762755325,10736754.762835694,4193773.290187345,1941091.1989116685,901253.6723997999
11582.0,7.50113,-2.268154,0.283453596,11.408,10.977,11.149,11.348,11.63,0.38444,0.018233593118811897,4731196.123660745,10403585.328766314,4093689.9747761902,1903513.4089333636,886251.6308799854
11404.0,7.50328,-2.297202,0.296268001,11.455,11.021,11.183,11.376,11.655,0.38444,0.01818851570173393,4553244.287071294,10039984.29682305,3987171.8032517266,1864257.678188832,870376.281023235
11230.0,7.50536,-2.325992,0.30941275,11.505,11.068,11.22,11.407,11.682,0.38444,0.018145011982128614,4369190.204917786,9660798.714298982,3872085.597437412,1820480.1189521055,853074.6711052024
11048.0,7.50754,-2.356559,0.324013502,11.561,11.121,11.262,11.443,11.712,0.38444,0.01809952841057059,4170431.107482667,9246833.411079098,3743906.1139047514,1769970.1430052023,834001.9141029749
10867.0,7.5097,-2.387418,0.339191917,11.62,11.176,11.307,11.48,11.744,0.38444,0.0180545745685094,3969547.0268640663,8833911.285512498,3609815.0343630034,1719198.1710527728,813817.5428578507
10746.0,7.51116,-2.408326,0.349644728,11.66,11.215,11.338,11.506,11.766,0.38444,0.018024252357944148,3838848.3083357527,8550923.745459678,3520018.527520228,1684170.052098509,800178.8118234932
10566.0,7.51334,-2.43985,0.365852347,11.722,11.274,11.386,11.547,11.799,0.38444,0.017979071491008934,3644021.6735169687,8139412.026797844,3384737.1597057427,1629918.6926352067,780130.1227018487
10442.0,7.51482,-2.461842,0.37702701,11.766,11.317,11.421,11.576,11.824,0.38444,0.017948462802604273,3511243.525161209,7850061.036885887,3288553.786126103,1592377.162712211,764974.6566796842
10323.0,7.51628,-2.483215,0.388514199,11.809,11.359,11.455,11.605,11.848,0.38444,0.01791831880412026,3386265.0743555212,7577623.68010971,3197900.5181904184,1555628.6769291544,750770.2369147235
10201.0,7.51776,-2.505349,0.400328671,11.853,11.403,11.491,11.636,11.873,0.38444,0.017887813544864517,3262878.869031212,7301515.870846694,3104166.083024956,1517001.256364278,736185.140807158
10079.0,7.51924,-2.527725,0.412490559,11.898,11.449,11.528,11.668,11.899,0.38444,0.017857360219657527,3141094.131062866,7022520.789216847,3010405.157671472,1477971.0947076285,721218.814006996
