logg,mWD,tcool(gyr),Radius,core,log(L),TpreWD(gyr),Mzams,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
7.6,0.498,0.00633,0.018668,CO,-0.351,0.0,0.0,5.6165,34673.685045253165,29457062.412596554,59702967.82851832,11202556.39845288,77603245.68011071,81562770.20431294,23582176.396771852,9405564.687976407,4105688.3618908795
7.6,0.495,0.00726,0.018599,CO,-0.434,0.0,0.0,5.8239,33113.112148259075,27194797.575601257,54859559.48787799,10403357.782487383,70128779.58452517,75118751.87259695,21845413.979522686,8743418.581719907,3823687.375690585
7.6,0.492,0.00834,0.018528,CO,-0.517,0.0,0.0,6.0313,31622.776601683792,24902785.9268735,49949876.724617645,9591701.159265263,62594818.70531386,68585209.26810755,20081788.27479492,8070182.853120621,3537402.5286847777
7.6,0.488,0.00961,0.018454,CO,-0.6,0.0,0.0,6.2389,30199.51720402019,22688406.08842922,45215826.34998266,8809103.058979942,55372538.96948334,62273965.20028364,18378854.32588342,7420606.912416443,3261673.863049082
7.6,0.485,0.01106,0.018381,CO,-0.682,0.0,0.0,6.4461,28840.31503126606,20686487.220874447,40942394.133372076,8106893.231112168,48916705.49239532,56544358.599164054,16842292.20735615,6836631.772431911,3015527.517830181
7.6,0.482,0.01276,0.018309,CO,-0.765,0.0,0.0,6.6533,27542.28703338169,18950286.05287749,37234219.571805,7501419.86281549,43393653.88463064,51555891.71389457,15509943.604284655,6330692.363910646,2803446.784601541
7.6,0.479,0.01476,0.018238,CO,-0.848,0.0,0.0,6.8603,26302.679918953814,17440165.287382714,34024917.59688297,6976511.278991533,38686643.1278027,47220777.05403387,14351756.103721984,5891502.093891293,2619552.7199251056
7.6,0.476,0.0171,0.01817,CO,-0.931,0.0,0.0,7.0671,25118.864315095823,16109244.188624008,31200506.925619822,6510927.640545486,34613507.92929395,43392802.28779267,13327528.300766295,5501366.828948034,2456245.156975388
7.6,0.473,0.01985,0.018104,CO,-1.013,0.0,0.0,7.2736,23988.329190194898,14911314.749968864,28676254.293052398,6089247.711072949,31014614.549772836,39959355.074752375,12402532.853777941,5148389.278501899,2307982.3545259177
7.6,0.47,0.02312,0.01804,CO,-1.096,0.0,0.0,7.48,22908.676527677748,13820124.42008841,26387511.671871975,5701638.220106608,27802407.441848144,36844654.277274214,11555437.7310766,4823778.891006969,2171443.3296181904
7.6,0.467,0.02698,0.017977,CO,-1.178,0.0,0.0,7.6862,21877.616239495517,12817123.898269715,24292771.65691936,5342177.164616086,24906977.77127232,33988587.40837976,10773207.659321407,4522994.110780745,2044123.491141193
7.6,0.464,0.03155,0.017916,CO,-1.261,0.0,0.0,7.8922,20892.96130854041,11891124.105760643,22370175.809864108,5007611.359050569,22286063.440301534,31356345.757956725,10047484.860811125,4242465.815286724,1925304.6444419036
7.6,0.462,0.03696,0.017857,CO,-1.343,0.0,0.0,8.0982,19952.62314968879,11030825.695289241,20593705.962385852,4693488.155242111,19907580.142792434,28924812.669905573,9369630.63720199,3980003.5721732494,1813529.2674217871
7.6,0.459,0.04342,0.017799,CO,-1.426,0.0,0.0,8.304,19054.607179632483,10231841.71909558,18953101.950061288,4399886.943827321,17751876.338562224,26669590.422797054,8737521.590810131,3734128.448859184,1708560.492813585
7.6,0.457,0.05118,0.017741,CO,-1.508,0.0,0.0,8.5098,18197.008586099826,9489183.11845556,17438748.44679771,4124359.671832876,15800807.357694615,24581668.657371394,8147479.497032176,3503840.008745877,1609998.1397942204
7.6,0.454,0.06043,0.017685,CO,-1.59,0.0,0.0,8.7155,17378.00828749376,8800247.591798814,16039151.017306278,3866718.8461529347,14038003.349702543,22646308.744300596,7596426.49289695,3288291.6587185003,1517369.8056491886
7.6,0.451,0.07135,0.01763,CO,-1.672,0.0,0.0,8.9211,16595.869074375598,8156810.911339827,14740997.761017667,3624499.956216769,12446603.229453081,20846009.319888704,7080025.851295288,3085715.1623372287,1430332.2847546274
7.6,0.449,0.09415,0.017582,CO,-1.755,0.0,0.0,9.1264,15848.93192461114,7555939.43065979,13538637.291922703,3397004.8897266868,11011815.304142702,19165096.076557625,6596642.015964354,2895768.9541087877,1348233.191416612
7.6,0.447,0.13872,0.017542,CO,-1.837,0.0,0.0,9.3315,15135.612484362071,6993052.778577331,12417474.919248234,3182398.1264097802,9716665.59917417,17589331.697301503,6141313.316144354,2716578.4159668125,1270642.4277774943
7.6,0.445,0.194,0.017502,CO,-1.919,0.0,0.0,9.5366,14454.39770745928,6460254.9921431355,11364128.760319307,2978361.1922269436,8547913.348340852,16098751.370680194,5709053.449856133,2546391.055492673,1196757.635472084
7.6,0.443,0.2621,0.017461,CO,-2.001,0.0,0.0,9.7418,13803.842646028837,5957811.997563081,10378468.706192648,2786727.4707147493,7506150.110493283,14691607.84744536,5300553.756627871,2386064.802794142,1127309.9528835157
7.6,0.441,0.34577,0.017419,CO,-2.083,0.0,0.0,9.9469,13182.567385564074,5487045.746763701,9458560.944997823,2608953.1785310064,6597646.336386233,13362296.79725952,4916465.882074364,2236938.3792889873,1063102.471285797
7.6,0.439,0.44704,0.017378,CO,-2.165,0.0,0.0,10.1519,12589.254117941662,5082828.232843636,8670255.96621653,2461462.01210491,5888380.749686619,12200228.547763428,4587962.740296273,2112812.0900050937,1009954.8992094358
7.6,0.437,0.56735,0.017338,CO,-2.247,0.0,0.0,10.3568,12022.644346174131,4762412.638882714,8047732.041097867,2347225.0219958327,5371276.047615541,11273260.818393642,4326945.955500208,2016798.2781299136,969044.1604529131
7.6,0.435,0.69665,0.017299,He,-2.329,0.0,0.0,10.5618,11481.536214968817,4404159.328615497,7361893.109969006,2217740.492482397,4836302.672167066,10254761.278512834,4029558.5515809995,1905366.2216027468,922782.9650674341
