wavelength,flux
4569.83,4.65167e-17
4570.88,3.82705e-17
4571.93,5.84238e-17
4572.99,5.36694e-17
4574.04,6.60015e-17
4575.09,3.70476e-17
4576.15,6.69033e-17
4577.20,6.46626e-17
4578.26,2.73072e-17
4579.31,5.66401e-17
4580.36,6.44877e-17
4581.42,5.68464e-17
4582.47,6.37989e-17
4583.53,6.15855e-17
4584.58,5.37348e-17
4585.64,4.68944e-17
4586.70,3.61806e-17
4587.75,3.75166e-17
4588.81,5.90935e-17
4589.86,6.01880e-17
4590.92,3.63149e-17
4591.98,5.58179e-17
4593.04,6.07471e-17
4594.10,5.79130e-17
4595.15,5.17982e-17
4596.21,3.30380e-17
4597.27,4.53151e-17
4598.33,3.29406e-17
4599.39,4.26467e-17
4600.45,3.96611e-17
4601.51,4.05970e-17
4602.57,4.55679e-17
4603.63,4.98875e-17
4604.68,5.73626e-17
4605.75,5.00737e-17
4606.81,4.08628e-17
4607.87,5.57445e-17
4608.93,6.30358e-17
4609.99,4.97017e-17
4611.05,5.21103e-17
4612.11,7.34124e-17
4613.18,5.42401e-17
4614.24,4.33361e-17
4615.30,6.03807e-17
4616.36,4.93914e-17
4617.43,5.61344e-17
4618.49,4.46957e-17
4619.55,5.04585e-17
4620.62,4.74920e-17
4621.68,5.04802e-17
4622.75,6.16473e-17
4623.81,4.28400e-17
4624.88,5.08810e-17
4625.94,6.10100e-17
4627.00,5.87193e-17
4628.07,5.29529e-17
4629.14,6.11915e-17
4630.20,6.37560e-17
4631.27,3.70725e-17
4632.34,6.44468e-17
4633.40,4.21974e-17
4634.47,4.92958e-17
4635.54,6.70809e-17
4636.60,4.44635e-17
4637.67,4.17107e-17
4638.74,5.34282e-17
4639.81,5.98392e-17
4640.88,5.77837e-17
4641.94,4.15599e-17
4643.01,5.04493e-17
4644.08,6.40829e-17
4645.15,6.23746e-17
4646.22,6.25873e-17
4647.29,5.27360e-17
4648.36,5.02602e-17
4649.43,6.47490e-17
4650.50,3.73290e-17
4651.57,5.92895e-17
4652.65,4.94402e-17
4653.72,3.32519e-17
4654.79,6.13014e-17
4655.86,5.32783e-17
4656.93,3.63839e-17
4658.01,5.25665e-17
4659.08,5.23542e-17
4660.15,3.97751e-17
4661.22,5.60064e-17
4662.30,7.24571e-17
4663.37,4.75373e-17
4664.45,4.54503e-17
4665.52,6.59105e-17
4666.59,3.50886e-17
4667.67,5.27263e-17
4668.74,6.07112e-17
4669.82,5.85962e-17
4670.89,5.41497e-17
4671.97,5.15362e-17
4673.05,4.49738e-17
4674.12,4.43937e-17
4675.20,3.73195e-17
4676.27,5.95580e-17
